0	0	1
1	1	2
2	2	3
3	3	4
4	4	5
5	5	6
6	6	7
7	7	8
8	8	9
9	9	10
10	10	11
11	11	12
12	12	13
13	13	11
14	11	13
15	13	14
16	14	15
17	15	16
18	16	8
19	8	16
20	16	17
21	17	7
22	7	17
23	17	18
24	18	17
25	17	6
26	6	17
27  	7  	18
28	18	19
29	19	20
30	20	5
31	5	20
32	20	21
33	21	4
34	4	21
35	21	22
36	22	3
37	3	22
38	22	23
39	23	2
40	2	23
41	23	24
42	24	25
43	25	26
44	26	27
45	27	28
46	28	29
47	29	25
48	25	29
49	29	30
50	30	40
51	40	30
52	30	31
53	31	32
54	32	33
55	33	34
56	34	35
57	35	36
58	36	35
59	36	37
60	37	36
61	36	38
62	38	33
63	33	38
64	38	39
65	39	32
66	32	39
67	39	40
68	40	41
69	41	30
70	30	41
71	41	2
